split,image,label,image_action,label_action,dropped
val,frame_001193.png,frame_001193.txt,moved,moved,0
val,frame_000266.png,frame_000266.txt,moved,moved,0
val,frame_001718.png,frame_001718.txt,moved,moved,0
val,frame_002532.png,frame_002532.txt,moved,moved,0
val,frame_000357.png,frame_000357.txt,moved,moved,0
val,frame_002012 (2).png,frame_002012 (2).txt,moved,moved,0
val,frame_000147 (2).png,frame_000147 (2).txt,moved,moved,0
val,frame_000443 (2).png,<missing>,moved,missing,1
val,frame_000160 (2).png,<missing>,moved,missing,1
val,frame_000904 (2).png,<missing>,moved,missing,1
val,frame_001277 (2).png,frame_001277 (2).txt,moved,moved,0
val,frame_000206 (2).png,frame_000206 (2).txt,moved,moved,0
val,frame_000535 (2).png,<missing>,moved,missing,1
val,frame_002247.png,frame_002247.txt,moved,moved,0
val,frame_002451.png,<missing>,moved,missing,1
val,frame_000505.png,frame_000505.txt,moved,moved,0
val,frame_001257.png,frame_001257.txt,moved,moved,0
val,frame_001392 (2).png,<missing>,moved,missing,1
val,frame_001941.png,frame_001941.txt,moved,moved,0
val,frame_000844 (2).png,frame_000844 (2).txt,moved,moved,0
val,frame_000575.png,frame_000575.txt,moved,moved,0
val,frame_000168.png,frame_000168.txt,moved,moved,0
val,frame_001268 (2).png,frame_001268 (2).txt,moved,moved,0
val,frame_001146 (2).png,<missing>,moved,missing,1
val,frame_001446 (2).png,<missing>,moved,missing,1
val,frame_001734 (2).png,frame_001734 (2).txt,moved,moved,0
val,frame_002233.png,frame_002233.txt,moved,moved,0
val,frame_001885.png,frame_001885.txt,moved,moved,0
val,frame_000529 (2).png,<missing>,moved,missing,1
val,frame_000508.png,<missing>,moved,missing,1
val,frame_001210 (2).png,<missing>,moved,missing,1
val,frame_000148.png,frame_000148.txt,moved,moved,0
val,frame_001607.png,frame_001607.txt,moved,moved,0
val,frame_002351.png,frame_002351.txt,moved,moved,0
val,frame_000805.png,frame_000805.txt,moved,moved,0
val,frame_001942.png,frame_001942.txt,moved,moved,0
val,frame_001917.png,frame_001917.txt,moved,moved,0
val,frame_001811.png,frame_001811.txt,moved,moved,0
val,frame_002131.png,frame_002131.txt,moved,moved,0
val,frame_002625.png,<missing>,moved,missing,1
val,frame_000785 (2).png,<missing>,moved,missing,1
val,frame_002436.png,<missing>,moved,missing,1
val,frame_000621.png,frame_000621.txt,moved,moved,0
val,frame_001972 (2).png,<missing>,moved,missing,1
val,frame_002470.png,frame_002470.txt,moved,moved,0
val,frame_000297.png,frame_000297.txt,moved,moved,0
val,frame_002601.png,frame_002601.txt,moved,moved,0
val,frame_000110.png,frame_000110.txt,moved,moved,0
val,frame_001266 (2).png,frame_001266 (2).txt,moved,moved,0
val,frame_001982.png,frame_001982.txt,moved,moved,0
val,frame_000004 (2).png,<missing>,moved,missing,1
