split,image,label,image_action,label_action,dropped
val,frame_000557 (2).png,frame_000557 (2).txt,moved,moved,0
val,frame_000140.png,frame_000140.txt,moved,moved,0
val,frame_001494 (2).png,frame_001494 (2).txt,moved,moved,0
val,frame_002020.png,frame_002020.txt,moved,moved,0
val,frame_001374.png,frame_001374.txt,moved,moved,0
val,frame_000411 (2).png,frame_000411 (2).txt,moved,moved,0
val,frame_000072.png,frame_000072.txt,moved,moved,0
val,frame_001687.png,frame_001687.txt,moved,moved,0
val,frame_000217 (2).png,frame_000217 (2).txt,moved,moved,0
val,frame_001563.png,frame_001563.txt,moved,moved,0
val,frame_002014 (2).png,frame_002014 (2).txt,moved,moved,0
val,frame_001090 (2).png,frame_001090 (2).txt,moved,moved,0
val,frame_001369.png,frame_001369.txt,moved,moved,0
val,frame_002167.png,frame_002167.txt,moved,moved,0
val,frame_000484.png,frame_000484.txt,moved,moved,0
val,frame_000723 (2).png,frame_000723 (2).txt,moved,moved,0
val,frame_001237.png,frame_001237.txt,moved,moved,0
val,frame_001580.png,frame_001580.txt,moved,moved,0
val,frame_000420.png,frame_000420.txt,moved,moved,0
val,frame_000359.png,frame_000359.txt,moved,moved,0
val,frame_000562 (2).png,frame_000562 (2).txt,moved,moved,0
val,frame_000111.png,frame_000111.txt,moved,moved,0
val,frame_001838.png,frame_001838.txt,moved,moved,0
val,frame_002487.png,frame_002487.txt,moved,moved,0
val,frame_000699.png,frame_000699.txt,moved,moved,0
val,frame_001943.png,frame_001943.txt,moved,moved,0
val,frame_001159 (2).png,frame_001159 (2).txt,moved,moved,0
val,frame_001618.png,frame_001618.txt,moved,moved,0
val,frame_002582.png,frame_002582.txt,moved,moved,0
val,frame_002570.png,frame_002570.txt,moved,moved,0
val,frame_001979.png,frame_001979.txt,moved,moved,0
val,frame_002004 (2).png,frame_002004 (2).txt,moved,moved,0
val,frame_001700.png,frame_001700.txt,moved,moved,0
val,frame_002006 (2).png,frame_002006 (2).txt,moved,moved,0
