split,image,label,image_action,label_action,dropped
val,frame_002296.png,frame_002296.txt,moved,moved,0
val,frame_000072.png,frame_000072.txt,moved,moved,0
val,frame_001047.png,<missing>,moved,missing,1
val,frame_000800.png,<missing>,moved,missing,1
val,frame_000553.png,frame_000553.txt,moved,moved,0
val,frame_000549.png,frame_000549.txt,moved,moved,0
val,frame_001739.png,frame_001739.txt,moved,moved,0
val,frame_001830.png,frame_001830.txt,moved,moved,0
val,frame_000011.png,<missing>,moved,missing,1
val,frame_002222.png,<missing>,moved,missing,1
val,frame_002638.png,frame_002638.txt,moved,moved,0
val,frame_000673.png,<missing>,moved,missing,1
val,frame_000224.png,frame_000224.txt,moved,moved,0
val,frame_001828.png,frame_001828.txt,moved,moved,0
val,frame_000121.png,frame_000121.txt,moved,moved,0
val,frame_001265.png,frame_001265.txt,moved,moved,0
val,frame_002190.png,frame_002190.txt,moved,moved,0
val,frame_002020.png,frame_002020.txt,moved,moved,0
val,frame_001121.png,<missing>,moved,missing,1
val,frame_001573.png,frame_001573.txt,moved,moved,0
val,frame_000400.png,frame_000400.txt,moved,moved,0
val,frame_002519.png,frame_002519.txt,moved,moved,0
val,frame_000775.png,<missing>,moved,missing,1
val,frame_000182.png,<missing>,moved,missing,1
val,frame_000768.png,<missing>,moved,missing,1
val,frame_001034.png,<missing>,moved,missing,1
val,frame_001864.png,frame_001864.txt,moved,moved,0
val,frame_001854.png,frame_001854.txt,moved,moved,0
val,frame_000236.png,frame_000236.txt,moved,moved,0
val,frame_001564.png,frame_001564.txt,moved,moved,0
val,frame_000954.png,frame_000954.txt,moved,moved,0
val,frame_000949.png,frame_000949.txt,moved,moved,0
val,frame_001145.png,frame_001145.txt,moved,moved,0
val,frame_001587.png,frame_001587.txt,moved,moved,0
val,frame_000801.png,<missing>,moved,missing,1
val,frame_002631.png,<missing>,moved,missing,1
val,frame_000338.png,frame_000338.txt,moved,moved,0
val,frame_001172.png,frame_001172.txt,moved,moved,0
val,frame_000568.png,frame_000568.txt,moved,moved,0
val,frame_002076.png,frame_002076.txt,moved,moved,0
val,frame_000560.png,frame_000560.txt,moved,moved,0
val,frame_001361.png,frame_001361.txt,moved,moved,0
val,frame_002618.png,<missing>,moved,missing,1
val,frame_001700.png,frame_001700.txt,moved,moved,0
val,frame_002541.png,frame_002541.txt,moved,moved,0
val,frame_000764.png,<missing>,moved,missing,1
val,frame_001940.png,frame_001940.txt,moved,moved,0
val,frame_000306.png,<missing>,moved,missing,1
val,frame_001657.png,<missing>,moved,missing,1
val,frame_000537.png,frame_000537.txt,moved,moved,0
val,frame_000926.png,<missing>,moved,missing,1
val,frame_000776.png,<missing>,moved,missing,1
val,frame_000452.png,<missing>,moved,missing,1
val,frame_002378.png,frame_002378.txt,moved,moved,0
val,frame_002505.png,frame_002505.txt,moved,moved,0
val,frame_000398.png,frame_000398.txt,moved,moved,0
val,frame_000486.png,frame_000486.txt,moved,moved,0
val,frame_002245.png,frame_002245.txt,moved,moved,0
val,frame_001740.png,frame_001740.txt,moved,moved,0
val,frame_001036.png,<missing>,moved,missing,1
val,frame_000710.png,frame_000710.txt,moved,moved,0
val,frame_002107.png,frame_002107.txt,moved,moved,0
val,frame_001052.png,<missing>,moved,missing,1
val,frame_001508.png,frame_001508.txt,moved,moved,0
val,frame_000504.png,frame_000504.txt,moved,moved,0
val,frame_002693.png,frame_002693.txt,moved,moved,0
val,frame_001524.png,<missing>,moved,missing,1
val,frame_001659.png,<missing>,moved,missing,1
val,frame_002401.png,frame_002401.txt,moved,moved,0
val,frame_001506.png,frame_001506.txt,moved,moved,0
val,frame_000984.png,frame_000984.txt,moved,moved,0
val,frame_000983.png,frame_000983.txt,moved,moved,0
val,frame_000887.png,frame_000887.txt,moved,moved,0
val,frame_001312.png,frame_001312.txt,moved,moved,0
val,frame_002226.png,<missing>,moved,missing,1
val,frame_000614.png,frame_000614.txt,moved,moved,0
val,frame_000091.png,frame_000091.txt,moved,moved,0
val,frame_002195.png,frame_002195.txt,moved,moved,0
val,frame_001032.png,<missing>,moved,missing,1
val,frame_000200.png,frame_000200.txt,moved,moved,0
val,frame_002035.png,<missing>,moved,missing,1
val,frame_000228.png,frame_000228.txt,moved,moved,0
val,frame_002002.png,frame_002002.txt,moved,moved,0
val,frame_002354.png,frame_002354.txt,moved,moved,0
val,frame_000050.png,<missing>,moved,missing,1
val,frame_000479.png,frame_000479.txt,moved,moved,0
val,frame_001237.png,<missing>,moved,missing,1
val,frame_001102.png,frame_001102.txt,moved,moved,0
val,frame_001468.png,frame_001468.txt,moved,moved,0
val,frame_002325.png,<missing>,moved,missing,1
val,frame_000729.png,<missing>,moved,missing,1
val,frame_001113.png,<missing>,moved,missing,1
val,frame_000599.png,frame_000599.txt,moved,moved,0
val,frame_001677.png,<missing>,moved,missing,1
val,frame_000010.png,<missing>,moved,missing,1
val,frame_002301.png,frame_002301.txt,moved,moved,0
val,frame_000936.png,<missing>,moved,missing,1
val,frame_000057.png,<missing>,moved,missing,1
val,frame_002048.png,<missing>,moved,missing,1
val,frame_001166.png,frame_001166.txt,moved,moved,0
val,frame_002664.png,frame_002664.txt,moved,moved,0
val,frame_001579.png,frame_001579.txt,moved,moved,0
val,frame_002308.png,frame_002308.txt,moved,moved,0
val,frame_001056.png,<missing>,moved,missing,1
val,frame_001057.png,frame_001057.txt,moved,moved,0
val,frame_000017.png,<missing>,moved,missing,1
val,frame_000364.png,frame_000364.txt,moved,moved,0
val,frame_001507.png,frame_001507.txt,moved,moved,0
val,frame_000337.png,frame_000337.txt,moved,moved,0
val,frame_000036.png,<missing>,moved,missing,1
val,frame_000869.png,<missing>,moved,missing,1
val,frame_002682.png,frame_002682.txt,moved,moved,0
val,frame_000688.png,<missing>,moved,missing,1
